Panel,Analysis,Python,Platform,NumPy,pandas,SciPy,scikit-learn,joblib,Master seed,Null/reference repetitions,Evaluation/bootstrap repetitions,Training N,Selection N/events,Test N,Additional specification,Source label,Frozen archive,SHA-256,Validation check,Status,Observed,Expected,Interpretation
A. Software environment,Phase 3 primary simulation,"3.13.7 (main, Sep 18 2025, 13:21:08) [Clang 17.0.0 (clang-1700.3.19.1)]",macOS-15.6.1-x86_64-i386-64bit-Mach-O,2.3.3,2.3.2,1.16.2,1.7.2,1.5.2,,,,,,,,,,,,,,,
A. Software environment,Phase 3B confirmatory simulations,"3.13.7 (main, Sep 18 2025, 13:21:08) [Clang 17.0.0 (clang-1700.3.19.1)]",macOS-15.6.1-x86_64-i386-64bit-Mach-O,2.3.3,2.3.2,1.16.2,1.7.2,1.5.2,,,,,,,,,,,,,,,
A. Software environment,SUPPORT2 split freeze (Phase 4B),"3.13.7 (main, Sep 18 2025, 13:21:08) [Clang 17.0.0 (clang-1700.3.19.1)]",macOS-15.6.1-x86_64-i386-64bit-Mach-O,2.5.1,3.0.3,,1.7.2,,,,,,,,,,,,,,,,
A. Software environment,SUPPORT2 null search (Phase 4C),"3.13.7 (main, Sep 18 2025, 13:21:08) [Clang 17.0.0 (clang-1700.3.19.1)]",macOS-15.6.1-x86_64-i386-64bit-Mach-O,2.5.1,3.0.3,1.16.2,1.7.2,1.5.2,,,,,,,,,,,,,,,
A. Software environment,SUPPORT2 test evaluation (Phase 4D),"3.13.7 (main, Sep 18 2025, 13:21:08) [Clang 17.0.0 (clang-1700.3.19.1)]",macOS-15.6.1-x86_64-i386-64bit-Mach-O,2.5.1,3.0.3,,1.7.2,1.5.2,,,,,,,,,,,,,,,
A. Software environment,SUPPORT2 restricted-permutation sensitivity,"3.13.5 (main, May  5 2026, 21:05:52) [GCC 14.2.0]",Linux-4.4.0-x86_64-with-glibc2.41,2.3.5,2.2.3,1.17.0,1.8.0,1.5.3,,,,,,,,,,,,,,,
"B. Seeds, repetitions, and sample sizes",Phase 3 primary simulation,,,,,,,,20260718,10000,2000,500,200/20 and 1000/100,20000,"Feature selection: LASSO or none; K=1, 3, or 7; AUROC, average precision, and partial AUROC.",,,,,,,,
"B. Seeds, repetitions, and sample sizes",Phase 3B confirmatory simulations,,,,,,,,20260718,5000,1000,500,1000/100,20000,"K=7; no feature selection; similar-linear, heterogeneous-core, and expanded-nonlinear libraries; single-linear and XOR signals.",,,,,,,,
"B. Seeds, repetitions, and sample sizes",SUPPORT2 split freeze,,,,,,,,20260719,,,5463,1821/471,1821,60%/20%/20%; stratified jointly by in-hospital death and diagnostic group; test set sealed.,,,,,,,,
"B. Seeds, repetitions, and sample sizes",SUPPORT2 null search,,,,,,,,20260720,5000,,5463,1821/471,Sealed,Seven frozen candidates; AUROC primary; test_set_evaluated=False.,,,,,,,,
"B. Seeds, repetitions, and sample sizes",SUPPORT2 untouched-test evaluation,,,,,,,,20260721,,5000,7284,Locked before test opening,1821,Test opened once; locked random forest evaluated; no alternative candidate model evaluated on test.,,,,,,,,
"B. Seeds, repetitions, and sample sizes",SUPPORT2 restricted-permutation sensitivity,,,,,,,,20260721,1000,,5463,1821/471,Not used,Post hoc; labels permuted within diagnostic group separately in frozen training and selection splits; tests no predictive information beyond preserved group-level prevalence.,,,,,,,,
C. Frozen source archives and SHA-256 hashes,,,,,,,,,,,,,,,,phase2b_event_prevalence,pipeline_phase2b_quick_20260718_190047.zip,a6309d097a1c2460cb55308f0e1c0a3740a108fb92dd65ddc044e0f73bdb259b,,,,,
C. Frozen source archives and SHA-256 hashes,,,,,,,,,,,,,,,,phase2c_metric_comparison,pipeline_phase2c_quick_20260718_191911.zip,5e9ec8650b450c35ee9e52abc6e35247557191f056c5388fc95e1eeb81f4cae7,,,,,
C. Frozen source archives and SHA-256 hashes,,,,,,,,,,,,,,,,phase2d_target_ap,pipeline_phase2d_quick_20260718_193337.zip,6668e0fb2019d2df8195bfaf23352cf751a566c20713a6180484e2d99cc4d9d1,,,,,
